"","file_name","day","lai"
"1","GLASS01B01.V04.A2015001.2016343.hdf","001",138580857631159
"2","GLASS01B01.V04.A2015009.2016343.hdf","009",140116527508517
"3","GLASS01B01.V04.A2015017.2016343.hdf","017",140620751998977
"4","GLASS01B01.V04.A2015025.2016343.hdf","025",141781669562380
"5","GLASS01B01.V04.A2015033.2016343.hdf","033",142546597034570
"6","GLASS01B01.V04.A2015041.2016343.hdf","041",143154264426065
"7","GLASS01B01.V04.A2015049.2016343.hdf","049",144054599660133
"8","GLASS01B01.V04.A2015057.2016343.hdf","057",144357411041071
"9","GLASS01B01.V04.A2015065.2016343.hdf","065",145296261756370
"10","GLASS01B01.V04.A2015073.2016343.hdf","073",146917430657398
"11","GLASS01B01.V04.A2015081.2016343.hdf","081",148834098473224
"12","GLASS01B01.V04.A2015089.2016343.hdf","089",153390414109169
"13","GLASS01B01.V04.A2015097.2016343.hdf","097",154988005392720
"14","GLASS01B01.V04.A2015105.2016343.hdf","105",160366282348970
"15","GLASS01B01.V04.A2015113.2016343.hdf","113",165971407767674
"16","GLASS01B01.V04.A2015121.2016343.hdf","121",173445397165947
"17","GLASS01B01.V04.A2015129.2016343.hdf","129",182032750441098
"18","GLASS01B01.V04.A2015137.2016343.hdf","137",191926845547770
"19","GLASS01B01.V04.A2015145.2016343.hdf","145",202948619330064
"20","GLASS01B01.V04.A2015153.2016343.hdf","153",213697338784002
"21","GLASS01B01.V04.A2015161.2016343.hdf","161",222717055729678
"22","GLASS01B01.V04.A2015169.2016343.hdf","169",230952327272373
"23","GLASS01B01.V04.A2015177.2016343.hdf","177",238074959377751
"24","GLASS01B01.V04.A2015185.2016343.hdf","185",243426337994030
"25","GLASS01B01.V04.A2015193.2016343.hdf","193",246967006758845
"26","GLASS01B01.V04.A2015201.2016343.hdf","201",248252943710126
"27","GLASS01B01.V04.A2015209.2016343.hdf","209",247456435657240
"28","GLASS01B01.V04.A2015217.2016343.hdf","217",245177696044167
"29","GLASS01B01.V04.A2015225.2016343.hdf","225",240055523419356
"30","GLASS01B01.V04.A2015233.2016343.hdf","233",232981561720713
"31","GLASS01B01.V04.A2015241.2016343.hdf","241",223957496481976
"32","GLASS01B01.V04.A2015249.2016343.hdf","249",213930649215470
"33","GLASS01B01.V04.A2015257.2016343.hdf","257",203492079821646
"34","GLASS01B01.V04.A2015265.2016343.hdf","265",194275361060848
"35","GLASS01B01.V04.A2015273.2016343.hdf","273",188869165032986
"36","GLASS01B01.V04.A2015281.2016343.hdf","281",179345988698011
"37","GLASS01B01.V04.A2015289.2016343.hdf","289",173012616661726
"38","GLASS01B01.V04.A2015297.2016343.hdf","297",167162604919360
"39","GLASS01B01.V04.A2015305.2016343.hdf","305",161137260479200
"40","GLASS01B01.V04.A2015313.2016343.hdf","313",158232834381486
"41","GLASS01B01.V04.A2015321.2016343.hdf","321",152377726128704
"42","GLASS01B01.V04.A2015329.2016343.hdf","329",146710985609183
"43","GLASS01B01.V04.A2015337.2016343.hdf","337",142735877549105
"44","GLASS01B01.V04.A2015345.2016343.hdf","345",140307148700627
